,,"1","0000-00-00 00:00:00",
"Appingedam","extern.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","extranet.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","financien.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","flexigeo.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","flexinext.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","flexiprint.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","formulieren.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","ftp.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","geluid.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","gemeente.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","gemeentebestuur.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","gemeenteraad.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","geo.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","gis.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","gwpprod.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","infozuil.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","intranet.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","jaarstukken.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","jalp.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","kaart.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","kaderbrief.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","kc.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","kpn190.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","lokalelasten.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","lokalelastenmeter.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","loket.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","m.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","mag.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","mail.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","mail2.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","mailcamp.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","maps.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","mijntexel.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","milieucentrum.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","mx10.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","oma.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","onlineformulieren.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","onzeluchtpost.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","openbareruimte.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","opendata.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","os.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","outlook.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","owa.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","parkeren.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","participatiewebshop.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","pers.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","pki.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","plannen.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","planonselfservice.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","portaal.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","programmabegroting.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","qwin.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","raad.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","raadsinformatie.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","redactie.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","regelingen.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","rekenkamer.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","resetww.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","rio.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","ris.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","ro.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","roonline.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","roonlineprod.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","ropubliceer.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","ruimtelijkeplannen.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","schatkamers.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","secure.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","seg.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","simsite.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","sip.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","sites.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","stadsarchief.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","subsidie.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","taxatieverslagenwozloket.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","telewerken.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","thuiswerk.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","thuiswerken.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","toegang.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","toerisme.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","trainingen.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","uat.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","verkiezingen.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","web.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","webmail.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","webservices.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","webwerken.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","wijkprofiel.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","wijkteam.appingedam.nl","0","0000-00-00 00:00:00",
"Appingedam","wkpb.appingedam.nl","0","0000-00-00 00:00:00",
